min_ma,region,formation,facies,collection_no,decimalLatitude,decimalLongitude,taxon,abundance,taph.corrected.abundance
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-X (41),-31.012,138.228,BOF,3,3
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,d_surface,46.625556,-53.161389,Bradgatia,76,76
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,e_surface,46.625556,-53.161389,Bradgatia,226,226
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,g_surface,46.625556,-53.161389,Bradgatia,55,55
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,sh_surface,46.625556,-53.161389,Bradgatia,10,10
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,bc_surface,46.625556,-53.161389,Charnia,5,5
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,d_surface,46.625556,-53.161389,Charnia,17,17
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,e_surface,46.625556,-53.161389,Charnia,84,84
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,g_surface,46.625556,-53.161389,Charnia,4,4
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,Imp_surface,46.625556,-53.161389,Charnia,202,202
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,pc_surface,46.625556,-53.161389,Charnia,18,18
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,sh_surface,46.625556,-53.161389,Charnia,1,1
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,e_surface,46.625556,-53.161389,Charniodiscus,825,825
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,g_surface,46.625556,-53.161389,Charniodiscus,8,8
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,Imp_surface,46.625556,-53.161389,Charniodiscus,11,11
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,sh_surface,46.625556,-53.161389,Charniodiscus,1,1
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-A (66),-31.012,138.228,Conomedusites,2,2
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-NAB (48),-31.012,138.228,Conomedusites,3,3
555,Nilpena,Rawnsley Qzite,Rippled.Sand,MM-3 (363),-31.012,138.228,Conomedusites,1,1
555,Nilpena,Rawnsley Qzite,Rippled.Sand,MM-5 (79),-31.012,138.228,Conomedusites,1,1
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-BOF (245),-31.012,138.228,Coronacollina,11,11
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-FB (201),-31.012,138.228,Coronacollina,12,12
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-LS (50),-31.012,138.228,Coronacollina,21,21
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-T (279),-31.012,138.228,Coronacollina,8,8
555,Nilpena,Rawnsley Qzite,Rippled.Sand,BARB,-31.012,138.228,Coronacollina,2,2
555,Nilpena,Rawnsley Qzite,Sheet.Flow.Sand,Parv (137),-31.012,138.228,Coronacollina,3,3
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-B (104),-31.012,138.228,Coronacollina,3,3
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-X (41),-31.012,138.228,Coronacollina,2,2
555,Nilpena,Rawnsley Qzite,Sheet.Flow.Sand,Sub (334),-31.012,138.228,Coronacollina,269,269
555,Nilpena,Rawnsley Qzite,Sheet.Flow.Sand,Trib (69),-31.012,138.228,Coronacollina,6,6
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-A (66),-31.012,138.228,Dickinsonia,21,21
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-BOF (245),-31.012,138.228,Dickinsonia,29,29
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-FB (201),-31.012,138.228,Dickinsonia,46,46
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-LS (50),-31.012,138.228,Dickinsonia,16,16
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-NAB (48),-31.012,138.228,Dickinsonia,5,5
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-T (279),-31.012,138.228,Dickinsonia,7,7
555,Nilpena,Rawnsley Qzite,Rippled.Sand,B-BRW (22),-31.012,138.228,Dickinsonia,11,11
555,Nilpena,Rawnsley Qzite,Rippled.Sand,BARB,-31.012,138.228,Dickinsonia,27,27
555,Nilpena,Rawnsley Qzite,Rippled.Sand,Gully (14),-31.012,138.228,Dickinsonia,13,13
555,Nilpena,Rawnsley Qzite,Sheet.Flow.Sand,Matt (148),-31.012,138.228,Dickinsonia,2,2
555,Nilpena,Rawnsley Qzite,Rippled.Sand,MM-3 (363),-31.012,138.228,Dickinsonia,208,208
555,Nilpena,Rawnsley Qzite,Rippled.Sand,MM-4 (214),-31.012,138.228,Dickinsonia,3,3
555,Nilpena,Rawnsley Qzite,Rippled.Sand,MM-5 (79),-31.012,138.228,Dickinsonia,12,12
555,Nilpena,Rawnsley Qzite,Sheet.Flow.Sand,Parv (137),-31.012,138.228,Dickinsonia,3,3
555,Nilpena,Rawnsley Qzite,Rippled.Sand,Phyllo (73),-31.012,138.228,Dickinsonia,1,1
555,Nilpena,Rawnsley Qzite,Rippled.Sand,Rugo (45),-31.012,138.228,Dickinsonia,3,3
555,Nilpena,Rawnsley Qzite,Rippled.Sand,SNG1 (121),-31.012,138.228,Dickinsonia,1,1
